No.	Pokémon	Entry	Bucket	Weight	Lv. Min	Lv. Max	Biomes	Excluded Biomes	Time	Weather	Multipliers	Context	Presets	Conditions	Anticonditions	skyLightMin	skyLightMax	canSeeSky	
16	Pidgey	1	common	9	1	25	Temperate, Sky	Spooky	day	any		grounded	Natural, Treetop			8	15		
16	Pidgey	3	common	9	1	25	Skyroot Forest, Skyroot Woodland		any	any		grounded	Natural, Treetop			8	15		
17	Pidgeotto	1	common	0.9	18	35	Temperate, Sky	Spooky	day	any		grounded	Natural, Treetop			8	15		
17	Pidgeotto	3	common	0.9	18	35	Skyroot Forest, Skyroot Woodland		any	any		grounded	Natural, Treetop			8	15		
18	Pidgeot	1	common	0.1	36	48	Temperate, Sky	Spooky	day	any		grounded	Natural, Treetop			8	15		
18	Pidgeot	3	common	0.1	36	48	Skyroot Forest, Skyroot Woodland		any	any		grounded	Natural, Treetop			8	15		
19	Rattata	1	common	9	1	25	Grassland	Spooky	night	any		grounded	Natural			8	15		
19	Rattata	2	common	9	1	25	Overworld	Deep Dark	any	any		grounded	Natural	minY = 0		0	7		
19	Rattata	3	uncommon	8.4	1	25	Overworld	Deep Dark	any	any		grounded	Derelict	minY = 0				FALSE	
19	Rattata [Alolan]	4	common	9	1	25	Overworld	Deep Dark	any	any		grounded	Natural	maxY = 0		0	7		
19	Rattata [Alolan]	5	uncommon	8.4	1	25	Overworld	Deep Dark	any	any		grounded	Derelict	maxY = 0				FALSE	
19	Rattata [Alolan]	6	common	9	1	25	Spooky		night	any		grounded	Natural			8	15		
19	Rattata [Alolan]	7	uncommon	8.4	1	25	Spooky		any	any		grounded	Derelict					FALSE	
20	Raticate	1	common	1	20	41	Grassland	Spooky	night	any		grounded	Natural			8	15		
20	Raticate	2	common	1	20	41	Overworld	Deep Dark	any	any		grounded	Natural	minY = 0		0	7		
20	Raticate	3	uncommon	1.6	20	41	Overworld	Deep Dark	any	any		grounded	Derelict	minY = 0				FALSE	
20	Raticate [Alolan]	4	common	1	20	41	Overworld	Deep Dark	any	any		grounded	Natural	maxY = 0		0	7		
20	Raticate [Alolan]	5	uncommon	1.6	20	41	Overworld	Deep Dark	any	any		grounded	Derelict	maxY = 0				FALSE	
20	Raticate [Alolan]	6	common	1	20	41	Spooky		night	any		grounded	Natural			8	15		
20	Raticate [Alolan]	7	uncommon	1.6	20	41	Spooky		any	any		grounded	Derelict					FALSE	
21	Spearow	1	common	9	1	26	Badlands, Savanna, Sky		day	any		grounded	Natural, Treetop			8	15		
22	Fearow	1	common	1	20	44	Badlands, Savanna, Sky		day	any		grounded	Natural, Treetop			8	15		snake_pattern=classic
23	Ekans	1	common	4.05	4	29	Arid		any	any		grounded	Natural			8	15		snake_pattern=legacy, attack, speed, elusive, sound
23	Ekans	2	common	0.27	4	29	Arid		any	any		grounded	Natural			8	15		snake_pattern=dark
23	Ekans	3	common	5.4	4	29	Nether Desert		any	any		grounded	Natural					any	snake_pattern=classic
24	Arbok	1	common	0.45	22	45	Arid		any	any		grounded	Natural			8	15		snake_pattern=legacy, attack, speed, elusive, sound
24	Arbok	2	common	0.03	22	45	Arid		any	any		grounded	Natural			8	15		snake_pattern=dark
24	Arbok	3	common	0.6	22	45	Nether Desert		any	any		grounded	Natural					any	
25	Pikachu	1	uncommon	0.712	16	32	Forest	Spooky	any	any	Storm x5	grounded	Natural			8	15		region_bias=alola
25	Pikachu	2	uncommon	1.84	16	32	Beach, Skyroot Forest, Skyroot Woodland, Tropical Island	Freezing	any	any	Storm x5	grounded	Natural			8	15		
26	Raichu	1	uncommon	0.048	27	49	Forest	Spooky	any	any	Storm x5	grounded	Natural			8	15		
26	Raichu [Alolan]	2	uncommon	0.16	27	49	Beach, Skyroot Forest, Skyroot Woodland, Tropical Island	Freezing	any	any	Storm x5	grounded	Natural			8	15		
27	Sandshrew	1	common	9	5	30	Badlands, Desert		any	any		grounded	Natural					any	
28	Sandslash	1	common	1	22	45	Badlands, Desert		any	any		grounded	Natural					any	
29	Nidoran♀	1	uncommon	8.4	3	28	Savanna		any	any		grounded	Natural, Wild			8	15		
30	Nidorina	1	uncommon	1.52	16	37	Savanna		any	any		grounded	Natural, Wild			8	15		
31	Nidoqueen	1	uncommon	0.08	37	51	Savanna		any	any		grounded	Natural, Wild			8	15		
32	Nidoran♂	1	uncommon	8.4	3	28	Savanna		any	any		grounded	Natural, Wild			8	15		
33	Nidorino	1	uncommon	1.52	16	37	Savanna		any	any		grounded	Natural, Wild			8	15		
34	Nidoking	1	uncommon	0.08	37	51	Savanna		any	any		grounded	Natural, Wild			8	15		
35	Clefairy	1	uncommon	1.52	17	32	Dripstone		night	any		grounded	Natural			8	15		
35	Clefairy	2	uncommon	1.52	17	32	Aether, Dripstone		any	any		grounded	Natural			0	7		
35	Clefairy	3	uncommon	1.52	17	32	Hills		night	any		grounded	Natural	Full Moon		8	15		
35	Clefairy	4	uncommon	1.52	17	32	Magical	Spooky	night	any		grounded	Natural			8	15		
36	Clefable	1	uncommon	0.08	27	48	Dripstone		night	any		grounded	Natural			8	15		
36	Clefable	2	uncommon	0.08	27	48	Aether, Dripstone		any	any		grounded	Natural			0	7		
36	Clefable	3	uncommon	0.08	27	48	Hills		night	any		grounded	Natural	Full Moon		8	15		
36	Clefable	4	uncommon	0.08	27	48	Magical	Spooky	night	any		grounded	Natural			8	15		
37	Vulpix	1	uncommon	5.52	5	30	Forest, Taiga	Freezing	any	any	Twilight x2.5	grounded	Natural			8	15		
37	Vulpix	2	common	1.9	5	30	Nether Forest	Nether Frozen	any	any		grounded	Natural					any	
37	Vulpix [Alolan]	3	uncommon	5.52	5	30	Snowy Forest, Snowy Taiga		any	any	Twilight x2.5	grounded	Natural			8	15		
37	Vulpix [Alolan]	4	common	1.9	5	30	Nether Frozen		any	any		grounded	Natural					any	
38	Ninetales	1	uncommon	0.48	25	51	Forest, Taiga	Freezing	any	any	Twilight x2.5	grounded	Natural			8	15		
38	Ninetales	2	common	0.1	25	51	Nether Forest	Nether Frozen	any	any		grounded	Natural					any	
38	Ninetales [Alolan]	3	uncommon	0.48	25	51	Snowy Forest, Snowy Taiga		any	any	Twilight x2.5	grounded	Natural			8	15		
38	Ninetales [Alolan]	4	common	0.1	25	51	Nether Frozen		any	any		grounded	Natural					any	
39	Jigglypuff	1	common	0.95	16	27	Floral		any	any	Night x1.5	grounded	Natural			8	15		
39	Jigglypuff	2	common	0.19	16	27	Plains	Floral	any	any	Night x1.5	grounded	Natural			8	15		
39	Jigglypuff	3	common	0.95	16	27	Skyroot Grove, Skyroot Meadow		any	any		grounded	Natural			8	15		
40	Wigglytuff	1	common	0.05	22	44	Floral		any	any	Night x1.5	grounded	Natural			8	15		
40	Wigglytuff	2	common	0.01	22	44	Plains	Floral	any	any	Night x1.5	grounded	Natural			8	15		
40	Wigglytuff	3	common	0.05	22	44	Skyroot Grove, Skyroot Meadow		any	any		grounded	Natural			8	15		
41	Zubat	1	common	1.8	1	25	Forest, Swamp	Spooky, Freezing	night	clear		grounded	Natural			8	15		
41	Zubat	3	common	1.8	1	25	Forest, Swamp	Spooky, Freezing	any	any	Night x0.25	grounded	Natural			0	7		
41	Zubat	4	common	9	1	25	Overworld	Deep Dark, Forest, Swamp	any	any	Day x1.5	grounded	Natural			0	7		
41	Zubat	5	uncommon	8.4	1	25	Overworld	Deep Dark, Forest, Swamp	any	any	Day x1.5	grounded	Derelict					FALSE	
41	Zubat	6	common	9	1	25	Spooky		any	clear	Night x1.5	grounded	Natural			8	15		
41	Zubat	8	uncommon	8.4	1	25	Deep Dark		any	any		grounded	Natural			0	7		
41	Zubat	9	common	9	1	25	Aether		any	any		grounded	Natural			0	7		
42	Golbat	1	common	0.18	22	46	Forest, Swamp	Spooky, Freezing	night	clear		grounded	Natural			8	15		
42	Golbat	3	common	0.18	22	46	Forest, Swamp	Spooky, Freezing	any	any	Night x0.25	grounded	Natural			0	7		
42	Golbat	4	common	0.9	22	46	Overworld	Deep Dark, Forest, Swamp	any	any	Day x1.5	grounded	Natural			0	7		
42	Golbat	5	uncommon	1.52	22	46	Overworld	Deep Dark, Forest, Swamp	any	any	Day x1.5	grounded	Derelict					FALSE	
42	Golbat	6	common	0.9	22	46	Spooky		any	clear	Night x1.5	grounded	Natural			8	15		
42	Golbat	8	uncommon	1.52	22	46	Deep Dark		any	any		grounded	Natural			0	7		
42	Golbat	9	common	0.9	22	46	Aether		any	any		grounded	Natural			0	7		
43	Oddish	1	common	9	7	32	Jungle		any	any	Day x0.25	grounded	Natural			8	15		
43	Oddish	2	common	1.8	7	32	Temperate		any	any	Day x0.25	grounded	Natural			8	15		
43	Oddish [Valencian]	3	common	1.8	7	32	Savanna, Tropical Island		any	any	Day x0.25	grounded	Natural			8	15		
44	Gloom	1	common	0.95	21	40	Jungle		any	any	Day x0.25	grounded	Natural			8	15		
44	Gloom	2	common	0.19	21	40	Temperate		any	any	Day x0.25	grounded	Natural			8	15		
44	Gloom [Valencian]	3	common	0.19	21	40	Savanna, Tropical Island		any	any	Day x0.25	grounded	Natural			8	15		
45	Vileplume	1	common	0.05	35	49	Jungle		night	any		grounded	Natural			8	15		
45	Vileplume	2	common	0.01	35	49	Temperate		night	any		grounded	Natural			8	15		
45	Vileplume [Valencian]	3	common	0.01	35	49	Savanna, Tropical Island		night	any		grounded	Natural			8	15		
46	Paras	1	uncommon	8.4	4	29	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
46	Paras	2	common	9	4	29	Mushroom		any	any		grounded	Natural					any	
46	Paras	3	common	9	4	29	Nether Fungus	Nether Warped	any	any		grounded	Natural					any	
46	Paras	4	uncommon	8.4	4	29	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
47	Parasect	1	uncommon	1.6	24	41	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
47	Parasect	2	common	1	24	41	Mushroom		any	any		grounded	Natural					any	
47	Parasect	3	common	1	24	41	Nether Fungus	Nether Warped	any	any		grounded	Natural					any	
47	Parasect	4	uncommon	1.6	24	41	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
48	Venonat	1	common	5.4	6	31	Spooky, Swamp		night	any		grounded	Natural			8	15		
49	Venomoth	1	common	0.6	31	45	Spooky, Swamp		night	clear		grounded	Natural			8	15		
50	Diglett	1	common	9	2	27	Overworld	Deep Dark	any	any		grounded	Natural	minY = 0		0	7		
50	Diglett [Alolan]	2	common	9	2	27	Overworld	Deep Dark	any	any		grounded	Natural	maxY = 0		0	7		
51	Dugtrio	1	common	1	26	43	Overworld	Deep Dark	any	any		grounded	Natural	minY = 0		0	7		
51	Dugtrio [Alolan]	2	common	1	26	43	Overworld	Deep Dark	any	any		grounded	Natural	maxY = 0		0	7		
52	Meowth	1	common	9	4	29	Overworld	Arid, Freezing, Taiga	any	clear	Night x1.5	grounded	Natural, Urban			8	15		
52	Meowth	2	common	9	4	29	Overworld	Arid, Freezing, Taiga	any	clear	Night x1.5	grounded	Natural	structure:#minecraft:village		8	15		
52	Meowth	3	common	9	4	29	Arid		any	any	Night x1.5	grounded	Natural, Urban			8	15		
52	Meowth	4	common	9	4	29	Arid		any	any	Night x1.5	grounded	Natural	structure:#minecraft:village		8	15		
52	Meowth [Alolan]	5	common	54	4	29	Overworld	Arid, Freezing	any	clear	Night x1.5	grounded	Natural, Illager_Structures			8	15		
52	Meowth [Alolan]	6	common	54	4	29	Arid, Freezing		any	any	Night x1.5	grounded	Natural, Illager_Structures			8	15		
52	Meowth [Alolan]	7	uncommon	50.4	4	29	Overworld		any	any		grounded	Illager_Structures	minY = 62				FALSE	
52	Meowth [Galarian]	8	common	9	4	29	Freezing, Taiga		any	any	Night x1.5	grounded	Natural, Urban			8	15		
52	Meowth [Galarian]	9	common	9	4	29	Freezing, Taiga		any	any	Night x1.5	grounded	Natural	structure:#minecraft:village		8	15		
53	Persian	1	common	1	28	44	Overworld	Arid, Freezing, Taiga	any	clear	Night x1.5	grounded	Natural, Urban			8	15		
53	Persian	2	common	1	28	44	Overworld	Arid, Freezing, Taiga	any	clear	Night x1.5	grounded	Natural	structure:#minecraft:village		8	15		
53	Persian	3	common	1	28	44	Arid		any	any	Night x1.5	grounded	Natural, Urban			8	15		
53	Persian	4	common	1	28	44	Arid		any	any	Night x1.5	grounded	Natural	structure:#minecraft:village		8	15		
53	Persian [Alolan]	5	common	6	28	44	Overworld	Arid, Freezing	any	clear	Night x1.5	grounded	Natural, Illager_Structures			8	15		
53	Persian [Alolan]	6	common	6	28	44	Arid, Freezing		any	any	Night x1.5	grounded	Natural, Illager_Structures			8	15		
53	Persian [Alolan]	7	uncommon	9.6	28	44	Overworld		any	any		grounded	Illager_Structures	minY = 62				FALSE	
54	Psyduck	1	common	5.4	7	32	Swamp		any	any		grounded	Natural			8	15		
54	Psyduck	2	common	5.4	7	32	Forest, Freshwater, Grassland, Magical, Tropical Island	Freezing, Swamp	any	any		grounded	Natural	#minecraft:water		8	15		
54	Psyduck	3	common	5.4	7	32	Forest, Freshwater, Grassland, Magical, Tropical Island	Freezing	any	any		submerged	Water			8	15	TRUE	
54	Psyduck	4	common	1.8	7	32	Forest, Freshwater, Grassland, Magical, Tropical Island	Freezing	any	any	Lure2 x3, Lure3 x5	fishing				8	15	TRUE	
55	Golduck	1	common	0.6	33	50	Swamp		any	any		grounded	Natural			8	15		
55	Golduck	2	common	0.6	33	50	Forest, Freshwater, Grassland, Magical, Tropical Island	Freezing, Swamp	any	any		grounded	Natural	#minecraft:water		8	15		
55	Golduck	3	common	0.6	33	50	Forest, Freshwater, Grassland, Magical, Tropical Island	Freezing	any	any		submerged	Water			8	15	TRUE	
55	Golduck	4	common	0.2	33	50	Forest, Freshwater, Grassland, Magical, Tropical Island	Freezing	any	any	Lure2 x3, Lure3 x5	fishing				8	15	TRUE	
56	Mankey	1	common	5.4	6	31	Hills, Jungle		any	any		grounded	Natural, Treetop			8	15		
57	Primeape	1	common	0.54	28	46	Hills, Jungle		any	any		grounded	Natural, Treetop			8	15		
58	Growlithe	1	common	5.7	10	35	Overworld	Desert	any	any		grounded	Natural, Urban			8	15		
58	Growlithe	2	common	5.7	10	35	Overworld	Desert	any	any		grounded	Natural	structure:#minecraft:village		8	15		
59	Arcanine	1	common	0.3	30	56	Overworld	Desert	any	any		grounded	Natural, Urban			8	15		
59	Arcanine	2	common	0.3	30	56	Overworld	Desert	any	any		grounded	Natural	structure:#minecraft:village		8	15		
60	Poliwag	1	common	9	5	30	Swamp		any	rain		grounded	Natural			8	15		
60	Poliwag	2	common	9	5	30	Swamp		any	any		submerged	Water	minecraft:lily_pad				TRUE	
60	Poliwag	3	common	5.4	5	30	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	rain		grounded	Natural	#minecraft:water		8	15		
60	Poliwag	4	common	5.4	5	30	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water					TRUE	
60	Poliwag	5	common	1.8	5	30	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
60	Poliwag	6	common	5.4	5	30	Lush		any	any		submerged	Water		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
60	Poliwag	7	common	9	5	30	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing						TRUE	
60	Poliwag	8	common	9	5	30	Lush		any	any	Lure0/1 x0.6	fishing			structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
60	Poliwag	9	common	9	5	30	Swamp		any	any		submerged	Water	minecraft:lily_pad		8	15	FALSE	
60	Poliwag	10	common	5.4	5	30	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water			8	15	FALSE	
60	Poliwag	11	common	9	5	30	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing				8	15	FALSE	
60	Poliwag	12	common	1.8	5	30	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
60	Poliwag	13	common	5.4	5	30	Overworld	Lush	any	any		submerged	Water	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
60	Poliwag	14	common	9	5	30	Overworld	Lush	any	any	Lure0/1 x0.6	fishing		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
61	Poliwhirl	1	common	0.95	25	39	Swamp		any	rain		grounded	Natural			8	15		
61	Poliwhirl	2	common	0.95	25	39	Swamp		any	any		submerged	Water	minecraft:lily_pad				TRUE	
61	Poliwhirl	3	common	0.57	25	39	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	rain		grounded	Natural	#minecraft:water		8	15		
61	Poliwhirl	4	common	0.57	25	39	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water					TRUE	
61	Poliwhirl	5	common	0.19	25	39	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
61	Poliwhirl	6	common	0.57	25	39	Lush		any	any		submerged	Water		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
61	Poliwhirl	7	common	0.95	25	39	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing						TRUE	
61	Poliwhirl	8	common	0.95	25	39	Lush		any	any	Lure0/1 x0.6	fishing			structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
61	Poliwhirl	9	common	0.95	25	39	Swamp		any	any		submerged	Water	minecraft:lily_pad		8	15	FALSE	
61	Poliwhirl	10	common	0.57	25	39	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water			8	15	FALSE	
61	Poliwhirl	11	common	0.95	25	39	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing				8	15	FALSE	
61	Poliwhirl	12	common	0.19	25	39	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
61	Poliwhirl	13	common	0.57	25	39	Overworld	Lush	any	any		submerged	Water	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
61	Poliwhirl	14	common	0.95	25	39	Overworld	Lush	any	any	Lure0/1 x0.6	fishing		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
62	Poliwrath	1	common	0.025	34	51	Swamp		any	rain		grounded	Natural			8	15		
62	Poliwrath	2	common	0.025	34	51	Swamp		any	any		submerged	Water	minecraft:lily_pad				TRUE	
62	Poliwrath	3	common	0.015	34	51	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	rain		grounded	Natural	#minecraft:water		8	15		
62	Poliwrath	4	common	0.015	34	51	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water					TRUE	
62	Poliwrath	5	common	0.005	34	51	Lush		any	any		grounded	Natural		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
62	Poliwrath	6	common	0.015	34	51	Lush		any	any		submerged	Water		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
62	Poliwrath	7	common	0.025	34	51	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing						TRUE	
62	Poliwrath	8	common	0.025	34	51	Lush		any	any	Lure0/1 x0.6	fishing			structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9	0	7		
62	Poliwrath	9	common	0.025	34	51	Swamp		any	any		submerged	Water	minecraft:lily_pad		8	15	FALSE	
62	Poliwrath	10	common	0.015	34	51	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing, Swamp	any	any		submerged	Water			8	15	FALSE	
62	Poliwrath	11	common	0.025	34	51	Freshwater, Hills, Jungle, Magical, Mushroom, Temperate	Freezing	any	any		fishing				8	15	FALSE	
62	Poliwrath	12	common	0.005	34	51	Overworld	Lush	any	any		grounded	Natural	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
62	Poliwrath	13	common	0.015	34	51	Overworld	Lush	any	any		submerged	Water	structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
62	Poliwrath	14	common	0.025	34	51	Overworld	Lush	any	any	Lure0/1 x0.6	fishing		structure:cobblemon:shipwreck_coves/lush_shipwreck_cove, minY = -41, maxY = 9		0	7		
63	Abra	1	rare	7.5	6	31	Hills, Temperate	Magical	night	any		grounded	Natural			8	15		
63	Abra	2	uncommon	8.4	6	31	Magical		night	any		grounded	Natural			8	15		
63	Abra	3	common	1.8	6	31	Overworld		any	any		grounded	Mansion					FALSE	
64	Kadabra	1	rare	2.375	16	40	Hills, Temperate	Magical	night	any		grounded	Natural			8	15		
64	Kadabra	2	uncommon	1.52	16	40	Magical		night	any		grounded	Natural			8	15		
64	Kadabra	3	common	0.19	16	40	Overworld		any	any		grounded	Mansion					FALSE	
65	Alakazam	1	rare	0.125	35	50	Hills, Temperate	Magical	night	any		grounded	Natural			8	15		
65	Alakazam	2	uncommon	0.08	35	50	Magical		night	any		grounded	Natural			8	15		
65	Alakazam	3	common	0.01	35	50	Overworld		any	any		grounded	Mansion					FALSE	
66	Machop	1	common	5.4	6	31	Hills		any	any	Night x0.25	grounded	Natural			8	15		
67	Machoke	1	common	0.57	28	41	Hills		any	any	Night x0.25	grounded	Natural			8	15		
68	Machamp	1	common	0.03	36	51	Hills		any	any	Night x0.25	grounded	Natural			8	15		
69	Bellsprout	1	common	9	5	30	Jungle		any	any		grounded	Natural			8	15		
